i,j,dm32_no,precision,bf,log10_bf,sigma,rmse,rmse_sigma,frac_rmse,frac_sigma
2,23,2.225806,0.793548,-319.433947,-2.504381,-2.955585,18.184145,1.942089,0.056926,0.657091
2,24,2.225806,0.819355,-298.161850,-2.474452,-2.934331,16.141855,1.893159,0.054138,0.645176
2,25,2.225806,0.845161,-278.393289,-2.444659,-2.913049,14.281177,1.842240,0.051299,0.632410
2,26,2.225806,0.870968,-259.968322,-2.414920,-2.891680,12.575565,1.788709,0.048373,0.618571
2,27,2.225806,0.896774,-242.760905,-2.385179,-2.870180,11.015226,1.732257,0.045375,0.603536
2,28,2.225806,0.922581,-226.668152,-2.355391,-2.848516,9.596599,1.672784,0.042338,0.587247
2,29,2.225806,0.948387,-211.603685,-2.325523,-2.826662,8.317022,1.610309,0.039305,0.569686
2,30,2.225806,0.974194,-197.493444,-2.295553,-2.804597,7.172473,1.544935,0.036318,0.550858
2,31,2.225806,1.000000,-184.272939,-2.265462,-2.782304,6.156989,1.476821,0.033412,0.530791
3,0,2.238710,0.200000,-2066.328425,-3.315199,-3.489615,679.451726,3.180618,0.328821,0.911452
3,1,2.238710,0.225806,-1375.059484,-3.138321,-3.379298,402.238047,3.025780,0.292524,0.895387
3,2,2.238710,0.251613,-1036.561406,-3.015595,-3.300887,276.711352,2.911163,0.266951,0.881934
3,3,2.238710,0.277419,-846.757177,-2.927759,-3.243772,203.412954,2.814057,0.240226,0.867526
3,4,2.238710,0.303226,-728.018712,-2.862143,-3.200539,154.911579,2.725836,0.212785,0.851680
3,5,2.238710,0.329032,-646.330234,-2.810454,-3.166132,120.669281,2.642938,0.186699,0.834753
3,6,2.238710,0.354839,-585.455993,-2.767494,-3.137293,95.874099,2.564829,0.163760,0.817529
3,7,2.238710,0.380645,-537.134135,-2.730083,-3.111996,77.829020,2.492473,0.144897,0.800924
3,8,2.238710,0.406452,-496.914496,-2.696282,-3.088991,64.607451,2.426573,0.130017,0.785555
3,9,2.238710,0.432258,-462.288251,-2.664913,-3.067513,54.721281,2.366721,0.118370,0.771544
3,10,2.238710,0.458065,-431.777615,-2.635260,-3.047094,47.088926,2.311689,0.109058,0.758654
3,11,2.238710,0.483871,-404.456559,-2.606872,-3.027439,40.984458,2.260047,0.101332,0.746521
3,12,2.238710,0.509677,-379.697144,-2.579437,-3.008344,35.941829,2.210513,0.094659,0.734794
3,13,2.238710,0.535484,-357.042013,-2.552719,-2.989650,31.663740,2.162041,0.088684,0.723175
3,14,2.238710,0.561290,-336.142664,-2.526524,-2.971229,27.957930,2.113794,0.083173,0.711421
3,15,2.238710,0.587097,-316.728199,-2.500687,-2.952968,24.698022,2.065100,0.077979,0.699330
3,16,2.238710,0.612903,-298.586899,-2.475071,-2.934772,21.799917,2.015428,0.073010,0.686741
3,17,2.238710,0.638710,-281.553213,-2.449560,-2.916559,19.206939,1.964364,0.068218,0.673521
3,18,2.238710,0.664516,-265.497540,-2.424061,-2.898261,16.880025,1.911594,0.063579,0.659566
3,19,2.238710,0.690323,-250.318033,-2.398492,-2.879820,14.791069,1.856889,0.059089,0.644793
3,20,2.238710,0.716129,-235.934144,-2.372791,-2.861187,12.918487,1.800087,0.054755,0.629140
3,21,2.238710,0.741935,-222.281665,-2.346904,-2.842320,11.244394,1.741077,0.050586,0.612555
